"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\CreatePublisher.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 2, 4, 79
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\CreateScript\CreateScript.js", "JavaScript", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 4, 21, 403
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\CreateScript\_createScript.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\EditAdminProfile\EditAdminProfile.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 4, 11, 210
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\EditAdminProfile\_editAdminProfile.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\AdminProfile\_adminProfile.scss", "SCSS", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 5, 25, 134
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\Profile.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 1, 7, 101
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\ProfileCarousel\ProfileCarousel.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 1, 12, 131
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\ProfileCarousel\ProfileCarouselDefault.comp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 1, 7, 97
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\ProfileCarousel\_profileCarousel.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\ChangeScriptPublisher\ChangeScriptPublisher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 4, 10, 118
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\ChangeScriptPublisher\_createScriptPublisher.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\CreateScriptPublisher\CreateScriptPublisher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 3, 22, 367
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\Profile\PublisherProfile\CreateScriptPublisher\_createScriptPublisher.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
